IncidntNum,Category,Date
1933,LARCENY/THEFT,05/01/2010 12:00:00 AM
59,STOLEN PROPERTY,05/01/2010 12:00:00 AM
719,VANDALISM,05/01/2010 12:00:00 AM
271,VEHICLE THEFT,05/01/2010 12:00:00 AM
22,ARSON,06/01/2010 12:00:00 AM
457,BURGLARY,06/01/2010 12:00:00 AM
1961,LARCENY/THEFT,06/01/2010 12:00:00 AM
56,STOLEN PROPERTY,06/01/2010 12:00:00 AM
715,VANDALISM,06/01/2010 12:00:00 AM
366,VEHICLE THEFT,06/01/2010 12:00:00 AM
18,ARSON,07/01/2010 12:00:00 AM
432,BURGLARY,07/01/2010 12:00:00 AM
2121,LARCENY/THEFT,07/01/2010 12:00:00 AM
50,STOLEN PROPERTY,07/01/2010 12:00:00 AM
650,VANDALISM,07/01/2010 12:00:00 AM
388,VEHICLE THEFT,07/01/2010 12:00:00 AM
22,ARSON,08/01/2010 12:00:00 AM
403,BURGLARY,08/01/2010 12:00:00 AM
2289,LARCENY/THEFT,08/01/2010 12:00:00 AM
66,STOLEN PROPERTY,08/01/2010 12:00:00 AM
694,VANDALISM,08/01/2010 12:00:00 AM
381,VEHICLE THEFT,08/01/2010 12:00:00 AM
19,ARSON,09/01/2010 12:00:00 AM
385,BURGLARY,09/01/2010 12:00:00 AM
2180,LARCENY/THEFT,09/01/2010 12:00:00 AM
49,STOLEN PROPERTY,09/01/2010 12:00:00 AM
685,VANDALISM,09/01/2010 12:00:00 AM
403,VEHICLE THEFT,09/01/2010 12:00:00 AM
21,ARSON,10/01/2010 12:00:00 AM
393,BURGLARY,10/01/2010 12:00:00 AM
2142,LARCENY/THEFT,10/01/2010 12:00:00 AM
59,STOLEN PROPERTY,10/01/2010 12:00:00 AM
680,VANDALISM,10/01/2010 12:00:00 AM
359,VEHICLE THEFT,10/01/2010 12:00:00 AM
17,ARSON,11/01/2010 12:00:00 AM
382,BURGLARY,11/01/2010 12:00:00 AM
2179,LARCENY/THEFT,11/01/2010 12:00:00 AM
57,STOLEN PROPERTY,11/01/2010 12:00:00 AM
635,VANDALISM,11/01/2010 12:00:00 AM
398,VEHICLE THEFT,11/01/2010 12:00:00 AM
6,ARSON,12/01/2010 12:00:00 AM
387,BURGLARY,12/01/2010 12:00:00 AM
2129,LARCENY/THEFT,12/01/2010 12:00:00 AM
55,STOLEN PROPERTY,12/01/2010 12:00:00 AM
570,VANDALISM,12/01/2010 12:00:00 AM
373,VEHICLE THEFT,12/01/2010 12:00:00 AM
25,ARSON,01/01/2011 12:00:00 AM
442,BURGLARY,01/01/2011 12:00:00 AM
2109,LARCENY/THEFT,01/01/2011 12:00:00 AM
77,STOLEN PROPERTY,01/01/2011 12:00:00 AM
663,VANDALISM,01/01/2011 12:00:00 AM
339,VEHICLE THEFT,01/01/2011 12:00:00 AM
19,ARSON,02/01/2011 12:00:00 AM
315,BURGLARY,02/01/2011 12:00:00 AM
1924,LARCENY/THEFT,02/01/2011 12:00:00 AM
62,STOLEN PROPERTY,02/01/2011 12:00:00 AM
590,VANDALISM,02/01/2011 12:00:00 AM
312,VEHICLE THEFT,02/01/2011 12:00:00 AM
11,ARSON,03/01/2011 12:00:00 AM
374,BURGLARY,03/01/2011 12:00:00 AM
2264,LARCENY/THEFT,03/01/2011 12:00:00 AM
58,STOLEN PROPERTY,03/01/2011 12:00:00 AM
684,VANDALISM,03/01/2011 12:00:00 AM
465,VEHICLE THEFT,03/01/2011 12:00:00 AM
23,ARSON,04/01/2011 12:00:00 AM
377,BURGLARY,04/01/2011 12:00:00 AM
2037,LARCENY/THEFT,04/01/2011 12:00:00 AM
55,STOLEN PROPERTY,04/01/2011 12:00:00 AM
683,VANDALISM,04/01/2011 12:00:00 AM
359,VEHICLE THEFT,04/01/2011 12:00:00 AM
14,ARSON,05/01/2011 12:00:00 AM
406,BURGLARY,05/01/2011 12:00:00 AM
2214,LARCENY/THEFT,05/01/2011 12:00:00 AM
66,STOLEN PROPERTY,05/01/2011 12:00:00 AM
601,VANDALISM,05/01/2011 12:00:00 AM
375,VEHICLE THEFT,05/01/2011 12:00:00 AM
13,ARSON,06/01/2011 12:00:00 AM
390,BURGLARY,06/01/2011 12:00:00 AM
2041,LARCENY/THEFT,06/01/2011 12:00:00 AM
69,STOLEN PROPERTY,06/01/2011 12:00:00 AM
571,VANDALISM,06/01/2011 12:00:00 AM
350,VEHICLE THEFT,06/01/2011 12:00:00 AM
20,ARSON,07/01/2011 12:00:00 AM
378,BURGLARY,07/01/2011 12:00:00 AM
2098,LARCENY/THEFT,07/01/2011 12:00:00 AM
47,STOLEN PROPERTY,07/01/2011 12:00:00 AM
598,VANDALISM,07/01/2011 12:00:00 AM
274,VEHICLE THEFT,07/01/2011 12:00:00 AM
17,ARSON,08/01/2011 12:00:00 AM
466,BURGLARY,08/01/2011 12:00:00 AM
2148,LARCENY/THEFT,08/01/2011 12:00:00 AM
81,STOLEN PROPERTY,08/01/2011 12:00:00 AM
562,VANDALISM,08/01/2011 12:00:00 AM
370,VEHICLE THEFT,08/01/2011 12:00:00 AM
18,ARSON,09/01/2011 12:00:00 AM
467,BURGLARY,09/01/2011 12:00:00 AM
2077,LARCENY/THEFT,09/01/2011 12:00:00 AM
67,STOLEN PROPERTY,09/01/2011 12:00:00 AM
525,VANDALISM,09/01/2011 12:00:00 AM
454,VEHICLE THEFT,09/01/2011 12:00:00 AM
14,ARSON,10/01/2011 12:00:00 AM
421,BURGLARY,10/01/2011 12:00:00 AM
2327,LARCENY/THEFT,10/01/2011 12:00:00 AM
64,STOLEN PROPERTY,10/01/2011 12:00:00 AM
595,VANDALISM,10/01/2011 12:00:00 AM
513,VEHICLE THEFT,10/01/2011 12:00:00 AM
17,ARSON,11/01/2011 12:00:00 AM
475,BURGLARY,11/01/2011 12:00:00 AM
2238,LARCENY/THEFT,11/01/2011 12:00:00 AM
76,STOLEN PROPERTY,11/01/2011 12:00:00 AM
541,VANDALISM,11/01/2011 12:00:00 AM
451,VEHICLE THEFT,11/01/2011 12:00:00 AM
12,ARSON,12/01/2011 12:00:00 AM
476,BURGLARY,12/01/2011 12:00:00 AM
2428,LARCENY/THEFT,12/01/2011 12:00:00 AM
63,STOLEN PROPERTY,12/01/2011 12:00:00 AM
630,VANDALISM,12/01/2011 12:00:00 AM
500,VEHICLE THEFT,12/01/2011 12:00:00 AM
29,ARSON,01/01/2012 12:00:00 AM
471,BURGLARY,01/01/2012 12:00:00 AM
2201,LARCENY/THEFT,01/01/2012 12:00:00 AM
75,STOLEN PROPERTY,01/01/2012 12:00:00 AM
605,VANDALISM,01/01/2012 12:00:00 AM
428,VEHICLE THEFT,01/01/2012 12:00:00 AM
16,ARSON,02/01/2012 12:00:00 AM
464,BURGLARY,02/01/2012 12:00:00 AM
2112,LARCENY/THEFT,02/01/2012 12:00:00 AM
71,STOLEN PROPERTY,02/01/2012 12:00:00 AM
604,VANDALISM,02/01/2012 12:00:00 AM
